from,to,relation
BI,Ceballos,1
BI,Merino,1
BI,Vitolo,1
BI,Illarramendi,1
BI,Martinez_Javi,1
BI,Pedro,1
BI,Laguardia,1
BI,Garcia,1
BI,Guevara,1
BI,Adrian,1
BI,Martin,1
BI,Melero,1
BI,Navas,1
BI,Monreal,1
BI,Pina,1
BI,Chumi,1
BI,Rivera,1
BI,Pier,1
BI,Mendez,1
BI,Bunuel,1
Ceballos,Arsenal,3
Ceballos,BPL,2
Ceballos,Spanien,4
Merino,Sociedad,3
Merino,BBVA,2
Vitolo,Atletico,3
Vitolo,BBVA,2
Illarramendi,Sociedad,3
Illarramendi,BBVA,2
Martinez_Javi,Bayern,3
Martinez_Javi,Bundesliga,2
Pedro,Chelsea,3
Pedro,BPL,2
Laguardia,Alaves,3
Laguardia,BBVA,2
Garcia,BBVA,2
Garcia,Bilbao,3
Guevara,BBVA,2
Guevara,Sociedad,3
Adrian,BPL,2
Adrian,Liverpool,3
Merino,Illarramendi,5
Illarramendi,Merino,5
Merino,Guevara,5
Guevara,Merino,5
Illarramendi,Guevara,5
Guevara,Illarramendi,5
Martin,BBVA,2
Martin,Betis_Sevilla,3
Melero,Levante,3
Melero,BBVA,2
Navas,Sevilla_FC,3
Navas,BBVA,2
Navas,Spanien,4
Navas,Ceballos,6
Ceballos,Navas,6
Monreal,Sociedad,3
Monreal,BBVA,2
Monreal,Merino,5
Monreal,Illarramendi,5
Monreal,Guevara,5
Merino,Monreal,5
Illarramendi,Monreal,5
Guevara,Monreal,5
Pina,BBVA,2
Pina,Alaves,3
Pina,Laguardia,5
Laguardia,Pina,5
Chumi,SDBGTres,2
Chumi,Barcelona_B,3
Rivera,SD,2
Rivera,Palmas,3
Pier,BBVA,2
Pier,Levante,3
Pier,Melero,5
Melero,Pier,5
Mendez,SD,2
Mendez,Gijon,3
Bunuel,SD,2
Bunuel,Santander,3
Upamecano,Bundesliga,2
Upamecano,RB_Leipzig,3
Kroos,BBVA,2
Kroos,Real,3
Kroos,Deutschland,4
Suele,Bundesliga,2
Suele,Bayern,3
Suele,Deutschland,4
Kroos,Suele,6
Suele,Kroos,6
Reus,Bundesliga,2
Reus,BVB,3
Reus,Deutschland,4
Reus,Kroos,6
Kroos,Reus,6
Reus,Suele,6
Suele,Reus,6
Serdar,Schalke,3
Serdar,Bundesliga,2
Serdar,Deutschland,4
Serdar,Kroos,6
Kroos,Serdar,6
Serdar,Reus,6
Serdar,Suele,6
Reus,Serdar,6
Suele,Serdar,6
Waldschmidt,Bundesliga,2
Waldschmidt,Freiburg,3
Waldschmidt,Deutschland,4
Waldschmidt,Kroos,6
Waldschmidt,Suele,6
Waldschmidt,Reus,6
Waldschmidt,Serdar,6
Kroos,Waldschmidt,6
Suele,Waldschmidt,6
Reus,Waldschmidt,6
Serdar,Waldschmidt,6
Haidara,Bundesliga,2
Haidara,RB_Leipzig,3
Haidara,Mali,4
Haidara,Upamecano,5
Upamecano,Haidara,5
Max,Bundesliga,2
Max,Augsburg,3
Schaer,BPL,2
Schaer,Newcastle,3
Schaer,Schweiz,4
Mittelstaedt,Bundesliga,2
Mittelstaedt,Hertha,3
Wolf,Bundesliga,2
Wolf,RB_Leipzig,3
Wolf,Haidara,5
Wolf,Upamecano,5
Haidara,Wolf,5
Upamecano,Wolf,5
Stark,Hertha,3
Stark,Bundesliga,2
Stark,Deutschland,4
Stark,Kroos,6
Stark,Suele,6
Stark,Reus,6
Stark,Serdar,6
Stark,Waldschmidt,6
Kroos,Stark,6
Suele,Stark,6
Reus,Stark,6
Serdar,Stark,6
Waldschmidt,Stark,6
Stark,Mittelstaedt,5
Mittelstaedt,Stark,5
Heintz,Bundesliga,2
Heintz,Freiburg,3
Heintz,Waldschmidt,5
Waldschmidt,Heintz,5
Richter,Bundesliga,2
Richter,Augsburg,3
Richter,Max,5
Max,Richter,5
Uth,Bundesliga,2
Uth,Koeln,3
Uth,Deutschland,4
Uth,Kroos,6
Uth,Suele,6
Uth,Reus,6
Uth,Serdar,6
Uth,Waldschmidt,6
Uth,Stark,6
Kroos,Uth,6
Suele,Uth,6
Reus,Uth,6
Serdar,Uth,6
Waldschmidt,Uth,6
Stark,Uth,6
Da_Costa,Bundesliga,2
Da_Costa,Frankfurt,3
Kohr,Bundesliga,2
Kohr,Frankfurt,3
Kohr,Da_Costa,5
Da_Costa,Kohr,5
Thommy,Bundesliga,2
Thommy,Duesseldorf,3
Knoche,Bundesliga,2
Knoche,Wolfsburg,3
Jakobs,Bundesliga,2
Jakobs,Koeln,3
Jakobs,Uth,5
Uth,Jakobs,5
ST,Upamecano,1
ST,Kroos,1
ST,Suele,1
ST,Reus,1
ST,Serdar,1
ST,Waldschmidt,1
ST,Haidara,1
ST,Max,1
ST,Schaer,1
ST,Mittelstaedt,1
ST,Wolf,1
ST,Stark,1
ST,Heintz,1
ST,Richter,1
ST,Uth,1
ST,Da_Costa,1
ST,Kohr,1
ST,Thommy,1
ST,Knoche,1
ST,Jakobs,1
PROP,Neuer,1
PROP,Herrmann,1
PROP,Rode,1
PROP,Mueller_Florian,1
PROP,Barreiro,1
PROP,Schindler,1
PROP,Baumgartlinger,1
PROP,Burkardt,1
PROP,Kiyotake,1
PROP,Haraguchi,1
PROP,Okazaki,1
PROP,Polter,1
PROP,Kanazaki,1
PROP,Ogihara,1
PROP,Hack,1
PROP,Leistner,1
PROP,Muroya,1
PROP,Blaswich,1
PROP,Jungwirth,1
PROP,Hasebe,1
Neuer,Bayern,3
Neuer,Bundesliga,2
Neuer,Deutschland,4
Herrmann,Gladbach,3
Herrmann,Bundesliga,2
Rode,Frankfurt,3
Rode,Bundesliga,2
Mueller_Florian,Mainz,3
Mueller_Florian,Bundesliga,2
Barreiro,Mainz,3
Barreiro,Bundesliga,2
Barreiro,Luxemburg,4
Schindler,Huddersfield,3
Schindler,CS,2
Baumgartlinger,Leverkusen,3
Baumgartlinger,Bundesliga,2
Baumgartlinger,Oesterreich,4
Burkardt,Mainz,3
Burkardt,Bundesliga,2
Kiyotake,Cerezo_Osaka,3
Kiyotake,J_One_League,2
Haraguchi,Hannover,3
Haraguchi,Zweite_Bundesliga,2
Okazaki,Huesca,3
Okazaki,SD,2
Polter,Union,3
Polter,Bundesliga,2
Kanazaki,Nagoya,3
Kanazaki,J_One_League,2
Ogihara,Yokohama_Marinos,3
Ogihara,J_One_League,2
Hack,Mainz,3
Hack,Bundesliga,2
Leistner,Koeln,3
Leistner,Bundesliga,2
Muroya,FC_Tokyo,3
Muroya,J_One_League,2
Muroya,Japan,4
Haraguchi,Japan,4
Okazaki,Japan,4
Blaswich,Heracles,3
Blaswich,Ere,2
Jungwirth,Quakes,3
Jungwirth,MLS,2
Hasebe,Frankfurt,3
Hasebe,Bundesliga,2
Rode,Hasebe,5
Hasebe,Rode,5
Mueller_Florian,Barreiro,5
Barreiro,Mueller_Florian,5
Mueller_Florian,Hack,5
Hack,Mueller_Florian,5
Mueller_Florian,Burkardt,5
Burkardt,Mueller_Florian,5
Barreiro,Burkardt,5
Burkardt,Barreiro,5
Barreiro,Hack,5
Hack,Barreiro,5
Burkardt,Hack,5
Hack,Burkardt,5
Haraguchi,Muroya,6
Muroya,Haraguchi,6
Haraguchi,Okazaki,6
Okazaki,Haraguchi,6
Okazaki,Muroya,6
Muroya,Okazaki,6
FF,Alexis_Sanchez,1
FF,Pulgar,1
FF,Aranguiz,1
FF,Vidal,1
FF,Vegas,1
FF,Vargas,1
FF,Baeza,1
FF,Otero,1
FF,Junior_Fernandes,1
FF,Medel,1
FF,Orellana,1
FF,Gutierrez,1
FF,Kuscevic,1
FF,Lobos,1
FF,Henriquez,1
FF,Mena,1
FF,Fuentes,1
FF,Valencia_L,1
FF,Manzaneda,1
FF,Altamirano,1
Alexis_Sanchez,Inter,3
Alexis_Sanchez,Serie_A,2
Alexis_Sanchez,Chile,4
Pulgar,Florenz,3
Pulgar,Serie_A,2
Pulgar,Chile,4
Aranguiz,Leverkusen,3
Aranguiz,Bundesliga,2
Aranguiz,Chile,4
Vidal,Barcelona,3
Vidal,BBVA,2
Vidal,Chile,4
Vegas,Monarcas,3
Vegas,Liga_MX,2
Vegas,Chile,4
Vargas,Tigres,3
Vargas,Liga_MX,2
Vargas,Chile,4
Baeza,Necaxa,3
Baeza,Liga_MX,2
Baeza,Chile,4
Otero,Atletico_MG,3
Otero,Serie_A_Brasilien,2
Otero,Venezuela,4
Junior_Fernandes,Alanyaspor,3
Junior_Fernandes,Sueper,2
Junior_Fernandes,Chile,4
Medel,Bologna,3
Medel,Serie_A,2
Medel,Chile,4
Orellana,Eibar,3
Orellana,BBVA,2
Orellana,Chile,4
Gutierrez,Kansas,3
Gutierrez,MLS,2
Kuscevic,CDUC,3
Kuscevic,Primera_Division,2
Lobos,CD_Everton,3
Lobos,Primera_Division,2
Henriquez,Universidad,3
Henriquez,Primera_Division,2
Mena,Racing,3
Mena,Superliga,2
Mena,Chile,4
Fuentes,Colo_Colo,3
Fuentes,Primera_Division,2
Valencia_L,Colo_Colo,3
Valencia_L,Primera_Division,2
Manzaneda,Cesar_Vallejo,3
Manzaneda,Liga_One_Peru,2
Altamirano,Huachipato,3
Altamirano,Primera_Division,2
Fuentes,Valencia_L,5
Valencia_L,Fuentes,5
Alexis_Sanchez,Pulgar,6
Pulgar,Alexis_Sanchez,6
Alexis_Sanchez,Aranguiz,6
Aranguiz,Alexis_Sanchez,6
Alexis_Sanchez,Vidal,6
Vidal,Alexis_Sanchez,6
Alexis_Sanchez,Vegas,6
Vegas,Alexis_Sanchez,6
Alexis_Sanchez,Vargas,6
Vargas,Alexis_Sanchez,6
Alexis_Sanchez,Baeza,6
Baeza,Alexis_Sanchez,6
Alexis_Sanchez,Junior_Fernandes,6
Junior_Fernandes,Alexis_Sanchez,6
Alexis_Sanchez,Medel,6
Medel,Alexis_Sanchez,6
Alexis_Sanchez,Orellana,6
Orellana,Alexis_Sanchez,6
Alexis_Sanchez,Mena,6
Mena,Alexis_Sanchez,6
Pulgar,Aranguiz,6
Aranguiz,Pulgar,6
Pulgar,Vidal,6
Vidal,Pulgar,6
Pulgar,Vegas,6
Vegas,Pulgar,6
Pulgar,Vargas,6
Vargas,Pulgar,6
Pulgar,Baeza,6
Baeza,Pulgar,6
Pulgar,Junior_Fernandes,6
Junior_Fernandes,Pulgar,6
Pulgar,Medel,6
Medel,Pulgar,6
